CPU  OpenCL CUDA
2892 19295 21160
2914 22771 21197
2918 22895 21177
2917 22751 21164
2921 22867 21135
2924 22848 21199
2924 22839 21175
2926 22852 21190
2922 22814 21130
2922 22820 21218
2922 22830 21165
2921 22835 21169
2923 22900 21257
2926 22895 21189
2917 22838 21244
2925 22878 21206
2925 22824 21211
2927 22831 21186
2923 22840 21129
2925 22850 21196
