CPU  OpenCL CUDA
23137 36824 33372
22963 36454 33348
23022 36236 30621
22874 36818 32229
23047 39400 33411
23015 36502 33424
23080 36579 33452
23097 36372 33463
23115 36843 33403
23040 36390 33428
23082 36647 33429
23060 36426 33442
23042 36564 33522
23083 36330 33475
23082 36009 33559
23132 36907 33546
23115 36388 33328
22933 35896 33586
23128 36546 33422
23020 36763 33434
