CPU  OpenCL CUDA
14698 35763 32125
14779 33727 32363
14818 35224 32304
14799 35289 32261
14820 35134 32344
14824 35316 32339
14820 35351 32326
14805 35312 32345
14807 35522 32280
14802 34122 32340
14815 35127 32309
14819 33950 32268
14753 35156 32213
14773 32030 32123
14771 34933 32232
14823 35392 32188
14784 35188 32256
14778 34917 32123
14781 35462 32047
14838 35816 32241
